"CommuteDays","MilesOneWay","Bus"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"Yes"
5,10.77815627,"Yes"
5,19.21753788,"Yes"
4,21.68291126,"No"
5,19.21753788,"No"
5,19.21753788,"No"
5,19.21753788,"No"
5,19.21753788,"Yes"
5,19.21753788,"No"
5,21.68291126,"No"
5,19.21753788,"No"
5,21.52791701,"No"
3,21.52791701,"Yes"
5,19.98248754,"No"
5,19.98248754,"Yes"
4,15.28750497,"No"
5,15.28750497,"Yes"
4,13.23205439,"No"
5,13.23205439,"Yes"
5,12.97997969,"Yes"
5,10.64731744,"No"
6,18.77780015,"Yes"
2,19.32806608,"No"
4,19.32806608,"Yes"
5,19.32806608,"Yes"
4,19.32806608,"Yes"
5,8.545882766,"Yes"
5,7.219151458,"Yes"
6,8.545882766,"Yes"
5,8.545882766,"Yes"
5,7.219151458,"No"
5,7.219151458,"No"
5,8.545882766,"Yes"
5,8.545882766,"No"
5,8.545882766,"No"
4,10.98989021,"Yes"
5,10.98989021,"Yes"
5,8.717184041,"No"
5,10.98989021,"Yes"
5,10.98989021,"No"
5,8.717184041,"No"
3,10.98989021,"No"
5,10.98989021,"Yes"
5,10.98989021,"Yes"
3,10.98989021,"No"
5,10.98989021,"No"
4,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"Yes"
5,14.07692974,"No"
5,15.05036034,"Yes"
5,15.05036034,"Yes"
4,15.05036034,"No"
5,15.05036034,"No"
5,14.07692974,"No"
4,14.07692974,"No"
5,14.07692974,"No"
5,14.07692974,"No"
5,14.07692974,"No"
5,15.05036034,"No"
5,15.05036034,"No"
5,14.07692974,"No"
5,15.05036034,"No"
3,15.05036034,"No"
5,14.07692974,"No"
5,15.05036034,"Yes"
2,15.05036034,"No"
5,15.05036034,"Yes"
5,15.05036034,"No"
4,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"No"
5,14.07692974,"No"
5,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"Yes"
5,15.05036034,"No"
5,15.05036034,"No"
5,15.05036034,"Yes"
5,15.05036034,"Yes"
5,19.96255836,"Yes"
5,19.96255836,"No"
5,21.25588473,"No"
5,21.25588473,"No"
5,21.25588473,"No"
5,19.96255836,"Yes"
5,19.96255836,"No"
4,21.25588473,"No"
5,21.25588473,"No"
5,21.25588473,"No"
4,19.96255836,"No"
4,19.96255836,"No"
5,21.25588473,"No"
3,19.96255836,"No"
5,19.96255836,"No"
5,19.96255836,"No"
5,19.96255836,"No"
5,19.96255836,"No"
3,19.96255836,"No"
5,19.96255836,"Yes"
5,26.86012832,"No"
6,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
4,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,14.04279022,"No"
5,13.50847023,"Yes"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
6,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
4,13.50847023,"Yes"
4,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
1,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,13.50847023,"No"
4,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"Yes"
4,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
4,13.50847023,"No"
1,14.04279022,"Yes"
5,13.50847023,"No"
1,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,13.50847023,"No"
5,13.50847023,"No"
6,13.50847023,"No"
5,13.50847023,"No"
2,13.50847023,"No"
3,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
3,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,13.50847023,"No"
5,14.04279022,"No"
3,13.50847023,"No"
5,13.50847023,"No"
4,14.04279022,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
3,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
4,14.04279022,"Yes"
5,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"Yes"
3,14.04279022,"No"
4,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
6,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"No"
4,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,13.50847023,"No"
3,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,13.50847023,"No"
5,14.04279022,"No"
5,14.04279022,"No"
3,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
4,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"No"
5,14.04279022,"Yes"
5,14.04279022,"No"
5,14.04279022,"Yes"
3,10.01512354,"No"
5,10.01512354,"No"
6,10.01512354,"No"
6,10.01512354,"No"
5,8.890028371,"No"
5,10.01512354,"No"
5,8.890028371,"No"
5,10.01512354,"No"
6,8.890028371,"No"
5,10.01512354,"No"
3,8.890028371,"No"
5,8.890028371,"No"
2,10.01512354,"No"
5,10.01512354,"No"
5,10.01512354,"No"
5,10.01512354,"Yes"
5,14.32401762,"No"
4,16.42329115,"No"
5,16.42329115,"No"
5,16.42329115,"No"
5,16.42329115,"No"
6,14.32401762,"Yes"
5,14.32401762,"No"
3,14.32401762,"No"
3,16.42329115,"No"
5,14.32401762,"No"
5,16.42329115,"No"
5,14.32401762,"Yes"
5,14.32401762,"Yes"
5,14.32401762,"Yes"
7,13.14186388,"No"
5,13.14186388,"No"
5,24.17075785,"Yes"
5,24.17075785,"No"
5,24.17075785,"Yes"
5,9.724995553,"No"
4,27.97097315,"Yes"
5,27.97097315,"Yes"
5,27.97097315,"Yes"
4,11.47377608,"No"
5,13.3014405,"No"
2,13.3014405,"No"
5,11.47377608,"No"
5,11.47377608,"No"
5,13.98027101,"No"
4,15.97209297,"Yes"
5,13.98027101,"No"
4,14.36265542,"Yes"
5,14.36265542,"Yes"
3,14.36265542,"No"
5,14.36265542,"No"
4,14.36265542,"No"
5,16.84803412,"Yes"
5,14.36265542,"Yes"
3,14.36265542,"No"
5,14.36265542,"No"
4,14.36265542,"No"
3,14.36265542,"No"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,16.84803412,"No"
5,14.36265542,"No"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,16.84803412,"Yes"
3,16.84803412,"No"
2,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,16.84803412,"No"
5,14.36265542,"No"
5,14.36265542,"No"
1,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
3,14.36265542,"No"
4,14.36265542,"No"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"Yes"
4,14.36265542,"Yes"
5,16.84803412,"No"
5,14.36265542,"Yes"
5,14.36265542,"Yes"
4,14.36265542,"No"
5,14.36265542,"Yes"
4,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
2,14.36265542,"No"
5,14.36265542,"No"
2,14.36265542,"No"
1,14.36265542,"Yes"
5,14.36265542,"No"
5,14.36265542,"Yes"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,14.36265542,"Yes"
4,14.36265542,"Yes"
3,14.36265542,"Yes"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"Yes"
5,14.36265542,"No"
5,14.36265542,"No"
5,14.36265542,"Yes"
5,30.56468474,"No"
4,16.05312321,"No"
5,16.05312321,"No"
4,22.19916746,"Yes"
5,24.00952252,"Yes"
5,22.19916746,"Yes"
4,22.19916746,"Yes"
4,22.19916746,"Yes"
5,22.19916746,"No"
5,22.19916746,"Yes"
5,24.00952252,"No"
4,24.00952252,"Yes"
5,24.00952252,"No"
4,24.00952252,"No"
5,24.00952252,"No"
5,24.00952252,"No"
5,22.19916746,"No"
5,22.19916746,"No"
5,22.19916746,"Yes"
5,22.19916746,"Yes"
5,22.19916746,"Yes"
5,22.19916746,"Yes"
5,24.00952252,"No"
4,22.19916746,"No"
4,22.19916746,"Yes"
5,22.19916746,"No"
5,22.19916746,"Yes"
5,22.19916746,"No"
5,20.52324874,"No"
5,20.92036408,"No"
5,20.52324874,"No"
