WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
14058,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14075,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14092,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14121,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14174,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14190,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14211,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14270,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14304,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14327,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,20,2,Drive Alone,20,2,Bus,60,6
14467,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14595,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14610,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14672,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14691,15220,Other (please specify),Green Tree,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
14768,15220,North Shore,,2.87271471,4,Carpool,10,0.8,Dropped Off,20,1.6,Bus,70,5.6
14828,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,4,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,8,I only commute by one method,0,0,I do not use a third transportation method,0,0
14838,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,90,9,Drive Alone,10,1,I do not use a third transportation method,0,0
